"","mObjID","mGlobID","# Interviewer","# Site","Screen: 18+","Screen: Have you been surveyed in the last 2 weeks?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_date","mLong","mLat","exObjID","exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments.x","exGlobID","Did anything detract from the experience you had at this site?","exLong","exLat","exActivityType","nexObjID","nexGlobID","nexGUID","# Is this a boat-based or shore-based activity?","If RECALL, what date did they participant do the activity?","What activity did you do?","What time did you START the activity?","What time did you STOP the activity?","If DIVING, what was your maximum depth (m)?","Why did you CHOOSE this site?","Why did you LEAVE this site?","How many DAYS have you done this activity in the last 12 months?","How many YEARS have you been doing this activity?","Comments.y","Did anything detract from your experience at this site?","nexLong","nexLat","nexActivityType","aObjID","aGlobID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number and/or name","Comments"
"11",12,"b48ced61-1739-4972-a576-3e9b066098c5","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 4:47:44 AM",121.932253332946,-33.831414999318,13,"b48ced61-1739-4972-a576-3e9b066098c5","Boat","1/22/2022 4:48:15 AM","Trolling","Bait","05:00","08:00",80,13,30,0,"Nanniguie , break sea cod , queen snapper","Explore",NA,"76b3ecf8-ccc8-463f-baea-baf046dd2e11",NA,122.118591659255,-34.2853765193011,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"7f5789cf-2990-4586-a329-6963fc868641","b48ced61-1739-4972-a576-3e9b066098c5",5,20,"None",NA,1984,6447,"Esperance","Male",NA,2,NA,NA,6,"EB769","Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern"
"12",12,"b48ced61-1739-4972-a576-3e9b066098c5","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 4:47:44 AM",121.932253332946,-33.831414999318,14,"b48ced61-1739-4972-a576-3e9b066098c5","Boat","1/22/2022 4:53:22 AM","Trolling","Bait","08:00","11:30",30,4,10,0,"Nanniguie","EndOfDay",NA,"fe8f2342-bc3d-4e3b-a11a-d82433c29e21",NA,121.960111731129,-34.0515122000308,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"7f5789cf-2990-4586-a329-6963fc868641","b48ced61-1739-4972-a576-3e9b066098c5",5,20,"None",NA,1984,6447,"Esperance","Male",NA,2,NA,NA,6,"EB769","Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern"
"13",13,"f6656fa9-f674-4580-9235-bf5d949a9879","EH","BandyCreekBR","Yes","No","Yes","No",4,"Yes",1,"4",3,"1/22/2022 4:59:57 AM",121.932181666251,-33.8314016660021,15,"f6656fa9-f674-4580-9235-bf5d949a9879","Boat","1/22/2022 5:00:26 AM","Casting","Bait","11:00","12:40",15,10,10,0,"Herring","Weather",NA,"643082ad-b860-4c09-8f47-5b0ce5410c44",NA,121.961331152804,-33.8560932120199,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"97b9d170-7d81-459a-8061-8ff1d464dd14","f6656fa9-f674-4580-9235-bf5d949a9879",2,30,"None",NA,1987,6432,"Esperance","Female",1,2,2,NA,7,"Gg053",NA
"14",14,"b1c70484-6603-4d98-a5a6-49eefcb6fbde","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 6:53:47 AM",121.932191666297,-33.8310216656231,16,"b1c70484-6603-4d98-a5a6-49eefcb6fbde","Boat","1/22/2022 6:54:25 AM","Casting","Bait","04:45","06:00",55,0,1,0,NA,"Weather",NA,"d5c2d43f-4648-4d82-99b1-e96ca29e4500",NA,121.898905657049,-34.0312952946689,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"bddce100-cfb9-4574-919a-6f3321b006b4","b1c70484-6603-4d98-a5a6-49eefcb6fbde",10,35,"None",NA,1976,6448,"Esperance","Male",NA,NA,NA,NA,7,"CU900",NA
"15",14,"b1c70484-6603-4d98-a5a6-49eefcb6fbde","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/22/2022 6:53:47 AM",121.932191666297,-33.8310216656231,17,"b1c70484-6603-4d98-a5a6-49eefcb6fbde","Boat","1/22/2022 6:57:50 AM","Casting","Bait","06:30","11:00",50,0,0,0,"0","Weather",NA,"3d49d3d9-1298-46d4-af88-590f5ad01279",NA,122.024507848546,-33.9231781709875,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"bddce100-cfb9-4574-919a-6f3321b006b4","b1c70484-6603-4d98-a5a6-49eefcb6fbde",10,35,"None",NA,1976,6448,"Esperance","Male",NA,NA,NA,NA,7,"CU900",NA
"16",15,"5c97bb53-87ba-4bb2-b165-c7d919d44655","EH","LuckyBay","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/23/2022 2:11:30 AM",122.218262184344,-33.989663249911,18,"5c97bb53-87ba-4bb2-b165-c7d919d44655","Boat","1/23/2022 2:13:18 AM","Demersal","Both","04:30","09:00",45,9,6,0,"Naniigue","LowCatch",NA,"36354998-1920-4cf5-b158-7434a3b4e7b2",NA,122.238631482513,-34.0352034027057,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"3ea3dd10-9de7-4f22-9097-54aa1f31103f","5c97bb53-87ba-4bb2-b165-c7d919d44655",20,25,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,2,8,"Df511","Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club."
"17",15,"5c97bb53-87ba-4bb2-b165-c7d919d44655","EH","LuckyBay","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/23/2022 2:11:30 AM",122.218262184344,-33.989663249911,19,"5c97bb53-87ba-4bb2-b165-c7d919d44655","Boat","1/23/2022 2:16:09 AM","Trolling","Both","09:00","10:00",30,0,0,0,NA,"Weather",NA,"cf0b9554-6d89-4188-8b6d-2648be9af20f",NA,122.244896247965,-34.0297296172338,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"3ea3dd10-9de7-4f22-9097-54aa1f31103f","5c97bb53-87ba-4bb2-b165-c7d919d44655",20,25,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,2,8,"Df511","Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club."
"18",16,"ed8bee0f-b535-4255-9e07-2a0a2cdc5650","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/23/2022 4:04:37 AM",121.893653217464,-33.8653721025551,20,"ed8bee0f-b535-4255-9e07-2a0a2cdc5650","Boat","1/23/2022 4:05:12 AM","Casting","Bait","11:00","12:00",8,0,0,0,NA,"ActivityChange",NA,"ea26cedc-2091-4398-807d-57889022d4ce",NA,121.900625406202,-33.8663206659574,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"c1e921db-f1d5-46d0-ac79-1beae1fb6e78","ed8bee0f-b535-4255-9e07-2a0a2cdc5650",12,38,"None",NA,1980,6450,"Esperance","Male",1,NA,1,1,3,"GJ315",NA
"19",17,"f850b07d-d08a-4597-8836-07cf3612057b","EH","EsperanceBR","Yes","No","Yes","Yes",2,"Yes",2,"0",0,"1/23/2022 4:36:49 AM",121.894180863608,-33.8658564300139,21,"f850b07d-d08a-4597-8836-07cf3612057b","Boat","1/23/2022 4:37:42 AM","Casting","Bait","10:00","12:00",15,3,4,0,"Black ark break sea cod,","Weather",NA,"286690c9-131d-4f8e-b246-6fcd3d8d1bc6",NA,121.902737804474,-33.9182448460485,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"bdba99a6-830c-496b-9fb5-5022a8c32663","f850b07d-d08a-4597-8836-07cf3612057b",1,30,"None",NA,1977,6430,"Esperance","Male",NA,1,NA,NA,3,"BR445",NA
"20",18,"1d84e23c-1c4a-468a-b00e-1099cc37d9b9","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/23/2022 4:47:05 AM",121.89422355155,-33.8681733813924,22,"1d84e23c-1c4a-468a-b00e-1099cc37d9b9","Boat","1/22/2022 4:49:22 AM","Spearing","Bait","07:30","19:00",12,3,0,0,"Abalone, harlequin, queen snapper","EndOfDay","Thinks shark culls in recreational areas, they also swam throughout the day","5ede66fb-050e-4dfd-a869-06a502c442d5",NA,122.110308911163,-33.9914785187218,"Extractive",4,"0db3e510-81a3-4163-b3de-020a1c1041ab","1d84e23c-1c4a-468a-b00e-1099cc37d9b9","Boat","1/23/2022 4:47:40 AM","Snorkeling","09:00",12:30:00,0,"NaturalSurroundings","EndOfDay",21,30,NA,NA,121.85594114054,-33.8883514282537,"NonExtractive",16,"e4d73f66-0578-4943-8f8a-e988934cd494","1d84e23c-1c4a-468a-b00e-1099cc37d9b9",10,35,"DM",500,1977,6450,"Esperance","Male",1,NA,2,NA,3,"DD038","Commercial diver in the past"
"21",19,"8ef85227-8aa8-41ec-b017-40cf8c1516cd","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/23/2022 5:10:27 AM",121.89428659352,-33.8663605361748,23,"8ef85227-8aa8-41ec-b017-40cf8c1516cd","Boat","1/23/2022 5:11:03 AM","Casting","Bait","04:30","12:30",40,7,10,0,"Harlequin, rake sea cod, nanniguie","Weather",NA,"be132fa8-156d-4c62-b11a-f4e2e23128c4",NA,122.009084049104,-33.9745238618564,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"9101527f-4c5f-41f6-bbf0-c489b8806d46","8ef85227-8aa8-41ec-b017-40cf8c1516cd",75,20,"None",NA,1999,6450,"Esperance","Male",NA,1,NA,NA,4,"AV079",NA
"22",20,"19a48624-5245-4551-8986-93d502475c94","EH","BandyCreekBR","Yes","Yes","No","Yes",NA,"Yes",NA,NA,0,"1/23/2022 5:40:12 AM",121.931260668506,-33.833185642664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",21,"67e773de-6974-4ca1-8978-1746450746a7","EH","BandyCreekBR","Yes","No","No","Yes",NA,"Yes",NA,NA,0,"1/23/2022 5:40:42 AM",121.931365582748,-33.8336794822774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",22,"f9b6a339-87ad-48c7-98a5-77ffd4a07e77","EH","BandyCreekBR","Yes","No","No","Yes",NA,"Yes",NA,NA,0,"1/23/2022 5:42:00 AM",121.930806039226,-33.8339990235536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",23,"27d42d98-c39d-4243-b705-15f8ee4f34f9","NSH","BandyCreekBR","Yes","No","Yes","No",7,"Yes",2,"4",0,"1/20/2022 3:15:30 AM",121.931274256423,-33.8328537935203,24,"27d42d98-c39d-4243-b705-15f8ee4f34f9","Boat",NA,"Demersal","Bait","06:15","07:15",20,0,2,0,"0","Explore",NA,"ed66fd40-bc30-4caa-99e5-bef2038e73fe",NA,121.996181293354,-33.8529186121195,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"4f09e679-0dc4-4b46-857f-040727dfb9a5","27d42d98-c39d-4243-b705-15f8ee4f34f9",12,20,"None",0,1975,6237,"PinkLake","Female",0,1,0,4,4,"D1507","Flat rock - 2km off Wyllie point"
"26",23,"27d42d98-c39d-4243-b705-15f8ee4f34f9","NSH","BandyCreekBR","Yes","No","Yes","No",7,"Yes",2,"4",0,"1/20/2022 3:15:30 AM",121.931274256423,-33.8328537935203,25,"27d42d98-c39d-4243-b705-15f8ee4f34f9","Boat",NA,"Demersal","Bait","07:30","08:00",30,0,0,0,NA,"Weather",NA,"8dfc06d6-738b-4067-99c3-6b2f4dfa736d",NA,121.987983725313,-33.899863345554,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"4f09e679-0dc4-4b46-857f-040727dfb9a5","27d42d98-c39d-4243-b705-15f8ee4f34f9",12,20,"None",0,1975,6237,"PinkLake","Female",0,1,0,4,4,"D1507","Flat rock - 2km off Wyllie point"
"27",23,"27d42d98-c39d-4243-b705-15f8ee4f34f9","NSH","BandyCreekBR","Yes","No","Yes","No",7,"Yes",2,"4",0,"1/20/2022 3:15:30 AM",121.931274256423,-33.8328537935203,26,"27d42d98-c39d-4243-b705-15f8ee4f34f9","Boat","1/20/2022 3:19:05 AM","Demersal","Bait","08:15","11:00",20,1,7,0,"Herring","Weather",NA,"ad533387-2899-46f5-aab5-f3ae5259f33c",NA,121.987161982424,-33.8535197182412,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"4f09e679-0dc4-4b46-857f-040727dfb9a5","27d42d98-c39d-4243-b705-15f8ee4f34f9",12,20,"None",0,1975,6237,"PinkLake","Female",0,1,0,4,4,"D1507","Flat rock - 2km off Wyllie point"
"28",24,"f11653ec-00b4-43a0-9ccc-17f9c2078a2f","NSH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/20/2022 3:29:52 AM",121.931409901133,-33.8330267116199,27,"f11653ec-00b4-43a0-9ccc-17f9c2078a2f","Boat",NA,"Demersal","Bait","05:00","10:30",20,24,24,0,"School whiting","Weather",NA,"0254bd9d-9346-4203-8b3d-418dadcd12b7",NA,122.088953259219,-33.9736627220033,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"340e32e1-9565-4795-a3b0-45625aed46df","f11653ec-00b4-43a0-9ccc-17f9c2078a2f",50,55,"None",0,1963,0,"Esperance","Female",0,0,0,0,6,"GF954",NA
"29",25,"f8c7b042-f471-4389-b8e4-020f1be4ce9d","NSH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,0,"1/20/2022 4:11:50 AM",121.931554591877,-33.8330255094951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"a98facd1-7214-4d24-9b83-42e73619ac94","f8c7b042-f471-4389-b8e4-020f1be4ce9d","Boat",NA,"Diving","06:30",07:00:00,50,"Other","Other",125,20,"Shell diving x commercial but for fun today",NA,121.766190801863,-33.9254901829534,"NonExtractive",20,"71d9a23f-25fc-4200-b103-31e68ab87e30","f8c7b042-f471-4389-b8e4-020f1be4ce9d",30,30,"I",550,1985,0,"Esperance","Male",0,0,0,0,8,"Dm262","Wasn’t an instructor but very experience commercial tech diver with over 5000 dives"
